NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS		17	0.327032	0.8644557	0.6315789	0.8889416	0.893	62	tags=24%, list=11%, signal=26%	
HP_INTELLECTUAL_DISABILITY_MILD	HP_INTELLECTUAL_DISABILITY_MILD		15	0.3334175	0.86353904	0.66796875	0.8839877	0.893	146	tags=53%, list=27%, signal=71%	
HP_AUTISTIC_BEHAVIOR	HP_AUTISTIC_BEHAVIOR		25	0.30151355	0.86172765	0.654224	0.88145053	0.893	158	tags=44%, list=29%, signal=59%	
GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		41	0.27658647	0.8568691	0.7183099	0.88729936	0.9	81	tags=24%, list=15%, signal=26%	
HP_ABNORMALITY_OF_REPRODUCTIVE_SYSTEM_PHYSIOLOGY	HP_ABNORMALITY_OF_REPRODUCTIVE_SYSTEM_PHYSIOLOGY		17	0.31040642	0.8552854	0.67016804	0.8847008	0.9	174	tags=53%, list=32%, signal=75%	
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS		21	0.31490913	0.8544318	0.673428	0.88006395	0.901	74	tags=24%, list=14%, signal=26%	
GOBP_EPITHELIUM_DEVELOPMENT	GOBP_EPITHELIUM_DEVELOPMENT		22	0.2941416	0.85293686	0.7348178	0.8769276	0.901	60	tags=23%, list=11%, signal=24%	
HP_ABNORMALITY_OF_THE_MIDDLE_EAR	HP_ABNORMALITY_OF_THE_MIDDLE_EAR		17	0.31975734	0.85167867	0.6530612	0.87311614	0.901	13	tags=18%, list=2%, signal=18%	
GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS		21	0.3043946	0.8515895	0.67959183	0.86712074	0.901	48	tags=19%, list=9%, signal=20%	
GOMF_PHOSPHOLIPID_BINDING	GOMF_PHOSPHOLIPID_BINDING		16	0.32679334	0.8432367	0.7108434	0.8790319	0.906	155	tags=31%, list=28%, signal=42%	
HP_GENERALIZED_HYPOTONIA	HP_GENERALIZED_HYPOTONIA		26	0.2771721	0.8388677	0.7306122	0.8825543	0.909	158	tags=42%, list=29%, signal=57%	
GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING		15	0.29258984	0.8383222	0.7240704	0.87903327	0.91	94	tags=33%, list=17%, signal=39%	
HP_ABNORMAL_ANTERIOR_EYE_SEGMENT_MORPHOLOGY	HP_ABNORMAL_ANTERIOR_EYE_SEGMENT_MORPHOLOGY		27	0.27705404	0.82784754	0.6966732	0.89582276	0.917	62	tags=22%, list=11%, signal=24%	
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	GOBP_REGULATION_OF_CELLULAR_LOCALIZATION		29	0.2545417	0.8250225	0.7416667	0.89680684	0.918	85	tags=28%, list=16%, signal=31%	
HP_ABNORMAL_LIP_MORPHOLOGY	HP_ABNORMAL_LIP_MORPHOLOGY		27	0.28497222	0.82028884	0.7265469	0.9016049	0.923	134	tags=41%, list=24%, signal=51%	
HP_ABNORMALITY_OF_THE_LYMPHATIC_SYSTEM	HP_ABNORMALITY_OF_THE_LYMPHATIC_SYSTEM		18	0.28737545	0.8156146	0.7295082	0.90522367	0.924	21	tags=17%, list=4%, signal=17%	
GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_INORGANIC_MOLECULAR_ENTITY_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		34	0.2704882	0.81478584	0.74757284	0.90081453	0.924	81	tags=26%, list=15%, signal=29%	
HP_HYPOPLASIA_OF_THE_CORPUS_CALLOSUM	HP_HYPOPLASIA_OF_THE_CORPUS_CALLOSUM		19	0.2987155	0.8141472	0.7228682	0.89627844	0.924	187	tags=58%, list=34%, signal=85%	
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS		16	0.3095957	0.81346154	0.7209776	0.8919759	0.925	36	tags=19%, list=7%, signal=19%	
HP_ABNORMALITY_OF_THE_OPTIC_NERVE	HP_ABNORMALITY_OF_THE_OPTIC_NERVE		17	0.29526734	0.8074738	0.744	0.8998711	0.927	13	tags=12%, list=2%, signal=12%	
GOBP_CELL_CYCLE	GOBP_CELL_CYCLE		43	0.25050837	0.80702645	0.7475149	0.8947769	0.928	43	tags=16%, list=8%, signal=16%	
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION		46	0.25114867	0.80371517	0.8028169	0.89610326	0.93	116	tags=33%, list=21%, signal=38%	
GOCC_CHROMATIN	GOCC_CHROMATIN		17	0.2858542	0.80059373	0.73674244	0.8972721	0.932	183	tags=59%, list=33%, signal=86%	
HP_ABNORMAL_HAIR_MORPHOLOGY	HP_ABNORMAL_HAIR_MORPHOLOGY		31	0.2754012	0.80038357	0.738	0.8917891	0.932	188	tags=48%, list=34%, signal=69%	
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY		17	0.289338	0.80003536	0.7612245	0.88676953	0.933	24	tags=12%, list=4%, signal=12%	
GOCC_SECRETORY_GRANULE	GOCC_SECRETORY_GRANULE		17	0.2831181	0.7947277	0.71020406	0.89206344	0.936	9	tags=12%, list=2%, signal=12%	
GOCC_ORGANELLE_SUBCOMPARTMENT	GOCC_ORGANELLE_SUBCOMPARTMENT		45	0.25136346	0.79399836	0.82696176	0.8875891	0.936	26	tags=13%, list=5%, signal=13%	
GOMF_KINASE_BINDING	GOMF_KINASE_BINDING		23	0.2799933	0.7817615	0.828629	0.90739954	0.943	205	tags=52%, list=37%, signal=80%	
GOBP_VESICLE_MEDIATED_TRANSPORT	GOBP_VESICLE_MEDIATED_TRANSPORT		48	0.24849288	0.78111804	0.8300395	0.9031492	0.944	136	tags=33%, list=25%, signal=40%	
GOBP_CELL_PROJECTION_ASSEMBLY	GOBP_CELL_PROJECTION_ASSEMBLY		16	0.28372544	0.7800706	0.7862745	0.8993947	0.944	185	tags=50%, list=34%, signal=73%	
GOBP_SEXUAL_REPRODUCTION	GOBP_SEXUAL_REPRODUCTION		16	0.27449897	0.77979755	0.76608187	0.89466184	0.944	24	tags=13%, list=4%, signal=13%	
GOBP_ORGANELLE_LOCALIZATION	GOBP_ORGANELLE_LOCALIZATION		23	0.28226456	0.77953076	0.804	0.8897443	0.944	177	tags=43%, list=32%, signal=62%	
HP_HYPERACTIVITY	HP_HYPERACTIVITY		15	0.30716112	0.7786362	0.7628459	0.8865318	0.945	146	tags=47%, list=27%, signal=62%	
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION		19	0.26288402	0.77795416	0.79875517	0.88318306	0.946	85	tags=26%, list=16%, signal=30%	
HP_ABNORMALITY_OF_UPPER_LIP	HP_ABNORMALITY_OF_UPPER_LIP		22	0.27995157	0.7730441	0.7338552	0.88701856	0.948	134	tags=41%, list=24%, signal=52%	
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS		35	0.2421892	0.7707515	0.7991968	0.886444	0.948	116	tags=29%, list=21%, signal=34%	
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_ANIMAL_ORGAN_MORPHOGENESIS		18	0.27165204	0.7706367	0.7739307	0.8813052	0.948	138	tags=28%, list=25%, signal=36%	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION		23	0.26808843	0.7691863	0.77120316	0.8792988	0.948	177	tags=52%, list=32%, signal=74%	
GOBP_REGULATION_OF_CELL_ADHESION	GOBP_REGULATION_OF_CELL_ADHESION		23	0.2774876	0.76353574	0.83466136	0.8847052	0.948	116	tags=30%, list=21%, signal=37%	
HP_ABNORMAL_EMOTION_AFFECT_BEHAVIOR	HP_ABNORMAL_EMOTION_AFFECT_BEHAVIOR		18	0.2744429	0.7616023	0.7771203	0.88312083	0.948	187	tags=56%, list=34%, signal=82%	
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		21	0.25458023	0.76058173	0.79532164	0.8798657	0.948	65	tags=19%, list=12%, signal=21%	
HP_ABNORMAL_EYELID_MORPHOLOGY	HP_ABNORMAL_EYELID_MORPHOLOGY		32	0.25165063	0.7602697	0.8449304	0.87529486	0.948	141	tags=41%, list=26%, signal=52%	
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_CELL_DIFFERENTIATION		41	0.23575021	0.75643224	0.8106509	0.8792572	0.953	188	tags=44%, list=34%, signal=62%	
HP_ABNORMALITY_OF_FLUID_REGULATION	HP_ABNORMALITY_OF_FLUID_REGULATION		18	0.27762055	0.75132316	0.8213592	0.88372374	0.954	187	tags=61%, list=34%, signal=90%	
HP_FEEDING_DIFFICULTIES	HP_FEEDING_DIFFICULTIES		44	0.23865597	0.75108886	0.87626773	0.879357	0.954	146	tags=36%, list=27%, signal=46%	
GOBP_EMBRYO_DEVELOPMENT	GOBP_EMBRYO_DEVELOPMENT		24	0.24869134	0.75104123	0.82723576	0.87448853	0.954	94	tags=25%, list=17%, signal=29%	
HP_GAIT_DISTURBANCE	HP_GAIT_DISTURBANCE		27	0.25196454	0.7502574	0.8228347	0.8712267	0.954	187	tags=48%, list=34%, signal=69%	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II		16	0.28635544	0.7480536	0.87323946	0.87113583	0.956	115	tags=31%, list=21%, signal=38%	
GOMF_LIPID_BINDING	GOMF_LIPID_BINDING		26	0.2677021	0.74792564	0.81086516	0.86655164	0.956	74	tags=19%, list=14%, signal=21%	
GOCC_CHROMOSOME	GOCC_CHROMOSOME		28	0.23166418	0.7461558	0.86105675	0.8654058	0.957	183	tags=50%, list=33%, signal=71%	
HP_SLEEP_DISTURBANCE	HP_SLEEP_DISTURBANCE		17	0.26680633	0.7439828	0.8039216	0.8644781	0.957	158	tags=47%, list=29%, signal=64%	
GOMF_ENZYME_ACTIVATOR_ACTIVITY	GOMF_ENZYME_ACTIVATOR_ACTIVITY		18	0.27815694	0.74171865	0.8366142	0.8642475	0.959	28	tags=17%, list=5%, signal=17%	
HP_ABNORMALITY_OF_FINGER	HP_ABNORMALITY_OF_FINGER		30	0.24987482	0.741442	0.8453815	0.8599036	0.959	141	tags=40%, list=26%, signal=51%	
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY	GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY		22	0.26007834	0.73968726	0.8484252	0.858725	0.959	116	tags=32%, list=21%, signal=39%	
HP_SHORT_ATTENTION_SPAN	HP_SHORT_ATTENTION_SPAN		15	0.277763	0.7393259	0.792233	0.8546456	0.959	158	tags=47%, list=29%, signal=64%	
GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS		21	0.2464608	0.73657876	0.8407767	0.85519964	0.959	63	tags=19%, list=11%, signal=21%	
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		44	0.22897458	0.7364584	0.8682635	0.8508413	0.959	120	tags=27%, list=22%, signal=32%	
HP_UPPER_MOTOR_NEURON_DYSFUNCTION	HP_UPPER_MOTOR_NEURON_DYSFUNCTION		31	0.24876836	0.7355983	0.8172888	0.8478966	0.959	175	tags=48%, list=32%, signal=67%	
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS		38	0.23502673	0.73431146	0.8630137	0.846249	0.96	120	tags=32%, list=22%, signal=38%	
HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX	HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX		39	0.23590657	0.7336098	0.84765625	0.843039	0.961	187	tags=49%, list=34%, signal=69%	
GOMF_STRUCTURAL_MOLECULE_ACTIVITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY		17	0.27740112	0.73340297	0.8063241	0.83895504	0.961	178	tags=53%, list=32%, signal=76%	
HP_ABNORMALITY_OF_THE_OUTER_EAR	HP_ABNORMALITY_OF_THE_OUTER_EAR		33	0.24024394	0.7328106	0.8625498	0.8358488	0.961	141	tags=36%, list=26%, signal=46%	
GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY		17	0.26571947	0.73110914	0.83697814	0.83516747	0.961	222	tags=71%, list=41%, signal=115%	
HP_ABNORMAL_LOCATION_OF_EARS	HP_ABNORMAL_LOCATION_OF_EARS		21	0.25692657	0.73024046	0.8438735	0.83271444	0.962	141	tags=33%, list=26%, signal=43%	
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	GOBP_NEGATIVE_REGULATION_OF_SIGNALING		32	0.22943877	0.729845	0.9055118	0.82956046	0.963	158	tags=34%, list=29%, signal=45%	
HP_ABNORMAL_NASAL_BRIDGE_MORPHOLOGY	HP_ABNORMAL_NASAL_BRIDGE_MORPHOLOGY		29	0.24452685	0.7219763	0.8375734	0.8397013	0.965	119	tags=31%, list=22%, signal=38%	
HP_HYPERTONIA	HP_HYPERTONIA		30	0.2473009	0.71746683	0.82539684	0.84266835	0.966	187	tags=53%, list=34%, signal=77%	
HP_ABNORMAL_CONJUGATE_EYE_MOVEMENT	HP_ABNORMAL_CONJUGATE_EYE_MOVEMENT		26	0.2506518	0.71697986	0.8473896	0.8393032	0.967	146	tags=38%, list=27%, signal=50%	
HP_FUNCTIONAL_ABNORMALITY_OF_THE_INNER_EAR	HP_FUNCTIONAL_ABNORMALITY_OF_THE_INNER_EAR		20	0.25531474	0.7169784	0.85252523	0.83512753	0.967	195	tags=50%, list=36%, signal=75%	
GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_REGULATION_OF_SYSTEM_PROCESS		19	0.2544207	0.7169599	0.8216433	0.831015	0.967	22	tags=11%, list=4%, signal=11%	
HP_FAILURE_TO_THRIVE	HP_FAILURE_TO_THRIVE		18	0.25569928	0.7147961	0.8386454	0.83076745	0.968	61	tags=17%, list=11%, signal=18%	
HP_ABNORMALITY_OF_THE_FOREHEAD	HP_ABNORMALITY_OF_THE_FOREHEAD		32	0.23896568	0.71437967	0.8682635	0.82750416	0.969	141	tags=41%, list=26%, signal=52%	
GOCC_PRESYNAPSE	GOCC_PRESYNAPSE		30	0.2571002	0.71389115	0.82840234	0.82442003	0.969	149	tags=30%, list=27%, signal=39%	
GOBP_REGULATION_OF_GTPASE_ACTIVITY	GOBP_REGULATION_OF_GTPASE_ACTIVITY		20	0.25914732	0.7138733	0.8333333	0.8204485	0.969	131	tags=40%, list=24%, signal=51%	
HP_WIDE_NASAL_BRIDGE	HP_WIDE_NASAL_BRIDGE		15	0.2712266	0.7122877	0.80353636	0.8190347	0.969	77	tags=27%, list=14%, signal=30%	
HP_ATROPHY_DEGENERATION_AFFECTING_THE_CENTRAL_NERVOUS_SYSTEM	HP_ATROPHY_DEGENERATION_AFFECTING_THE_CENTRAL_NERVOUS_SYSTEM		27	0.24283278	0.7102784	0.83463037	0.81925833	0.97	187	tags=52%, list=34%, signal=75%	
HP_ATROPHY_DEGENERATION_AFFECTING_THE_CEREBRUM	HP_ATROPHY_DEGENERATION_AFFECTING_THE_CEREBRUM		26	0.2423309	0.70821416	0.83040935	0.81963503	0.971	182	tags=50%, list=33%, signal=71%	
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		19	0.25244734	0.7065819	0.87474746	0.8187008	0.973	193	tags=53%, list=35%, signal=78%	
GOBP_CYTOSKELETON_ORGANIZATION	GOBP_CYTOSKELETON_ORGANIZATION		46	0.22835556	0.70514715	0.91071427	0.81802446	0.973	190	tags=50%, list=35%, signal=70%	
GOBP_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_JUNCTION_ASSEMBLY		16	0.27146935	0.7036835	0.86470586	0.81609696	0.974	155	tags=44%, list=28%, signal=59%	
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		19	0.26441595	0.70303667	0.8517034	0.8134369	0.974	47	tags=21%, list=9%, signal=22%	
HP_PUBERTY_AND_GONADAL_DISORDERS	HP_PUBERTY_AND_GONADAL_DISORDERS		17	0.25273788	0.70149845	0.8625498	0.8117786	0.974	13	tags=12%, list=2%, signal=12%	
GOBP_LIPID_METABOLIC_PROCESS	GOBP_LIPID_METABOLIC_PROCESS		30	0.24011606	0.7008155	0.86206895	0.80910623	0.974	74	tags=23%, list=14%, signal=25%	
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION		16	0.26167777	0.6971152	0.888454	0.81273097	0.975	177	tags=44%, list=32%, signal=63%	
HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS	HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS		29	0.22930814	0.6955235	0.84817815	0.811961	0.975	140	tags=38%, list=26%, signal=48%	
HP_ABNORMAL_TENDON_MORPHOLOGY	HP_ABNORMAL_TENDON_MORPHOLOGY		15	0.25394687	0.69342554	0.86105675	0.8109167	0.975	136	tags=40%, list=25%, signal=52%	
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION		25	0.23038834	0.69019926	0.91935486	0.8121684	0.975	118	tags=32%, list=22%, signal=39%	
HP_ABNORMAL_EYEBROW_MORPHOLOGY	HP_ABNORMAL_EYEBROW_MORPHOLOGY		19	0.24779429	0.6857699	0.8634538	0.8170307	0.977	134	tags=32%, list=24%, signal=40%	
GOMF_ENZYME_REGULATOR_ACTIVITY	GOMF_ENZYME_REGULATOR_ACTIVITY		43	0.22911216	0.6857695	0.86758894	0.81333375	0.977	131	tags=33%, list=24%, signal=39%	
HP_MICROCEPHALY	HP_MICROCEPHALY		39	0.22598413	0.6844041	0.90176815	0.8114198	0.977	178	tags=46%, list=32%, signal=63%	
GOBP_LOCOMOTION	GOBP_LOCOMOTION		44	0.21609549	0.6842559	0.8853755	0.80787617	0.977	182	tags=41%, list=33%, signal=56%	
GOBP_APOPTOTIC_PROCESS	GOBP_APOPTOTIC_PROCESS		42	0.21274896	0.67938644	0.91715974	0.8119592	0.978	159	tags=40%, list=29%, signal=53%	
HP_CLINODACTYLY	HP_CLINODACTYLY		18	0.24223548	0.668676	0.89917696	0.8266932	0.98	134	tags=44%, list=24%, signal=57%	
HP_ABNORMALITY_OF_THE_DENTITION	HP_ABNORMALITY_OF_THE_DENTITION		23	0.23628919	0.66643953	0.9257028	0.8273183	0.981	188	tags=52%, list=34%, signal=76%	
HP_VISUAL_IMPAIRMENT	HP_VISUAL_IMPAIRMENT		34	0.22473638	0.6580364	0.9269777	0.83609384	0.982	130	tags=32%, list=24%, signal=40%	
HP_ABNORMAL_PENIS_MORPHOLOGY	HP_ABNORMAL_PENIS_MORPHOLOGY		17	0.2570947	0.6514266	0.86652976	0.8437193	0.985	187	tags=41%, list=34%, signal=61%	
GOBP_TUBE_MORPHOGENESIS	GOBP_TUBE_MORPHOGENESIS		21	0.24365038	0.6473415	0.8982387	0.84616774	0.985	195	tags=43%, list=36%, signal=64%	
HP_ABNORMAL_INFLAMMATORY_RESPONSE	HP_ABNORMAL_INFLAMMATORY_RESPONSE		17	0.2434364	0.6428582	0.888	0.8490135	0.985	199	tags=53%, list=36%, signal=81%	
GOBP_CELL_MOTILITY	GOBP_CELL_MOTILITY		51	0.20159379	0.6388295	0.935167	0.8511719	0.986	178	tags=39%, list=32%, signal=53%	
HP_MUSCLE_WEAKNESS	HP_MUSCLE_WEAKNESS		16	0.22577015	0.638156	0.92727274	0.8483298	0.986	136	tags=38%, list=25%, signal=48%	
GOCC_GOLGI_MEMBRANE	GOCC_GOLGI_MEMBRANE		20	0.22918405	0.6364021	0.86558044	0.8477357	0.986	192	tags=50%, list=35%, signal=74%	
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS		27	0.22291325	0.6361638	0.9221557	0.8443498	0.986	116	tags=26%, list=21%, signal=31%	
HP_ABNORMALITY_OF_GLOBE_LOCATION	HP_ABNORMALITY_OF_GLOBE_LOCATION		22	0.22383231	0.6335328	0.8997996	0.8443371	0.986	77	tags=23%, list=14%, signal=25%	
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS		28	0.21429019	0.62556285	0.938247	0.85250217	0.986	95	tags=25%, list=17%, signal=29%	
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS		27	0.21648362	0.6220597	0.9197652	0.8547139	0.986	120	tags=30%, list=22%, signal=36%	
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS		32	0.20419979	0.6171019	0.9563492	0.8585841	0.986	33	tags=9%, list=6%, signal=9%	
GOMF_SIGNALING_RECEPTOR_BINDING	GOMF_SIGNALING_RECEPTOR_BINDING		32	0.18288581	0.6131728	0.9705882	0.8609261	0.986	27	tags=9%, list=5%, signal=9%	
HP_ABNORMALITY_OF_THE_PALPEBRAL_FISSURES	HP_ABNORMALITY_OF_THE_PALPEBRAL_FISSURES		21	0.21774928	0.60977155	0.962	0.8644878	0.988	187	tags=48%, list=34%, signal=70%	
GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY		22	0.20639895	0.6087634	0.94186044	0.8621176	0.988	105	tags=27%, list=19%, signal=32%	
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL		30	0.20146906	0.608129	0.9620758	0.8590967	0.988	118	tags=30%, list=22%, signal=36%	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION		21	0.2231335	0.60709757	0.90981966	0.85665613	0.988	175	tags=43%, list=32%, signal=61%	
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY		24	0.20724337	0.60648865	0.98778003	0.8543005	0.989	24	tags=8%, list=4%, signal=8%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS		34	0.18807708	0.6023019	0.9747082	0.8569986	0.99	142	tags=26%, list=26%, signal=34%	
GOMF_CYTOSKELETAL_PROTEIN_BINDING	GOMF_CYTOSKELETAL_PROTEIN_BINDING		31	0.20315103	0.5822152	0.9263804	0.88062173	0.992	175	tags=42%, list=32%, signal=58%	
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		35	0.19005291	0.5746657	0.97830373	0.8870229	0.993	33	tags=9%, list=6%, signal=9%	
HP_APLASIA_HYPOPLASIA_OF_THE_CEREBELLUM	HP_APLASIA_HYPOPLASIA_OF_THE_CEREBELLUM		15	0.22680816	0.57267106	0.9466403	0.885866	0.993	136	tags=33%, list=25%, signal=43%	
GOCC_ENDOSOME	GOCC_ENDOSOME		31	0.18464164	0.5624083	0.962	0.8924252	0.993	92	tags=19%, list=17%, signal=22%	
HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY	HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY		17	0.19955048	0.5550213	0.9649123	0.8968013	0.993	61	tags=18%, list=11%, signal=19%	
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING		17	0.18986428	0.51050764	0.98828125	0.9403344	0.995	146	tags=29%, list=27%, signal=39%	
HP_ABNORMALITY_OF_THE_CALVARIA	HP_ABNORMALITY_OF_THE_CALVARIA		23	0.17280406	0.49515858	0.98050684	0.95001554	0.997	134	tags=26%, list=24%, signal=33%	
HP_ABNORMAL_FACIAL_SHAPE	HP_ABNORMAL_FACIAL_SHAPE		37	0.16379619	0.490642	1.0	0.9495762	0.997	187	tags=46%, list=34%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION		15	0.17372482	0.45269597	0.9959596	0.9693288	0.997	209	tags=47%, list=38%, signal=73%	
